qi,query,rank_a,rank_b,rank_f
497,Fabindia Cream-Coloured & Blue Hand Printed Saree,3,6,5
498,Nike Men's Race Day T-shirt,9,27,11
499,Disney Kids Girl's Minnie And Daisy Pink Kidswear,2,3,2
500,Myntra Women Grey Printed Kurta,61,1,16
501,Classic Polo Men's White With Black Stripes T-shirt,6,4,6
502,Vero Moda Women Pink Top,101,16,55
503,Royal Diadem Set of 2 Silver Bangles,1,1,1
504,Inkfruit Men Respest Me Black Tshirts,85,10,27
505,Mineral Women White Tunic,88,75,79
506,Puma Men Pounce Graphic Red T-shirt,3,6,3
507,Nike Men Stripe Navy Blue Tracksuits,9,1,4
508,Lotus Herbals Cherry Lip Balm,1,1,1
509,Flying Machine Women Printed Green T-shirt,23,10,15
510,Tantra Men's Mistakes White T-shirt,26,6,10
511,Jockey Women Assorted Lounge Pants,12,9,6
512,Puma Women Black Pack of 2 Socks,3,9,5
513,Puma Men Dizzy Graphic Green T-shirt,101,101,101
514,Nike Men's Challenger Logo Black T-shirt,1,15,3
515,Nike Men's Classic Fresh Grey Track Pant,6,5,5
516,Allen Solly Men Brown Sunglasses AS232-C3,101,101,101
517,Timen Women Silver Toned Dial Watch T2N150,32,42,26
518,Puma Unisex Rajasthan Royals Military Blue Cap,15,5,8
519,Puma Men's The Game White Tshirt,101,101,101
520,ADIDAS Unisex Response Galaxy Grey Watch,11,13,10
521,Jockey Essence Jane White T-shirt Bra 1243,35,34,35
522,Lee Women Chrome Purple Top,24,30,22
523,Enroute Women Copper Flats,96,101,101
524,Mr.Men Men's Mr.Mischief Pink T-shirt,2,1,1
525,Catwalk Women White Flats,12,3,6
526,Indigo Nation Men Bling PC Red Shirt,101,101,101
527,Basics Men Black Casual Shoes,101,84,96
528,Nike Men's Elit Black Orange Socks,3,3,3
529,Hugo Men XY Perfume,4,3,4
530,ADIDAS Men Black & White Striped Polo T-shirt,101,101,101
531,Lotto Women White T-shirt,11,14,8
532,Shree Women Maroon & Mustard Patiala,46,38,43
533,Chromozome Men Charcoal Trunk Trunks,4,6,4
534,Probase Men's Ability Will You Get Turquoise T-shirt,1,1,1
535,Proline Men Red Polo T-shirt,5,2,3
536,Hanes Men Half Sleeve Pack of 3 Innerwear T-shirts,11,7,7
537,Reid & Taylor Men Stripes Blue Socks,2,5,3
538,Revlon Crimson Colorburst Lipstick 095,2,3,3
539,Myntra Men Rider Black T-shirt,101,1,4
540,French Connection Women Navy Blue Belt,7,7,4
541,Catwalk Women Ethnic Multi Heels,21,28,18
542,Fabindia Women White Leggings,7,7,7
543,Oakley Women Black Forsake Sunglasses,22,15,17
544,Shree Women Cream-Coloured & Pink Printed Salwar Suit with Dupatta,1,1,1
545,Proline Off-White Polo T-shirt,5,1,3
546,Amante Women Black Briefs PGSK01,15,21,18
547,Lotto Men Black Zeus Sandals,83,14,28
548,Fabindia Women Pink Leggings,4,11,7
549,Puma Men Ducati Black Casual Shoes,28,27,22
550,Fossil Women Purple Dial Chronograph Watch ES3038,1,1,1
551,Highlander Men Check Purple Shirt,7,21,6
552,Nike Men White FFF Shorts,1,1,1
553,Classic Polo Men's Cari Yellow Polo T-shirt,3,5,3
554,Skagen Women Blue Dial Watch,1,1,1
555,Nike Men's Vapor Knit Grey Short,1,1,1
556,Enroute Teens Girls Red Ballet Flats,4,1,1
557,Spinn Women Alliance Pink Sports Shoes,2,2,1
558,Elle Women Off-White & Orange Floral Print Tulip Skirt,1,1,1
559,Lee Cooper Men's LC Formal Leather Black Shoe,101,101,101
560,Skechers Men's Casual Brown Lifestyle Shoe,101,12,40
561,Allen Solly Women Oversized Sunglasses AH220-C1,101,101,101
562,Angry Birds Men Green Stop Madness T-shirt,1,1,1
563,Fabindia Women Beige Salwar,1,4,1
564,Rockport Men Jelbalp Black Flip Flops,7,1,3
565,United Colors of Benetton Women Red Polo T-shirt,1,1,1
566,Palm Tree Kids Boys Check White Shorts,1,1,1
567,Red Tape Men Black Sandals,6,2,3
568,United Colors of Benetton Women Light Winter White Tops,101,101,101
569,Gini and Jony Boys Blue T-shirt,44,28,27
570,Nike Women Lunar Swift Red Shoe,2,2,3
571,Jockey Women Black Bikini Briefs,38,14,23
572,Wrangler Men Navy Blue Polo Tshirts,9,45,28
573,Playboy Men Grey Socks,1,2,1
574,Femella Women Black Summer Cape Top,28,101,45
575,Kiara Women Yellow & Black Handbag,3,3,1
576,ADIDAS Men CC Chill Black Sports Shoe,10,1,3
577,Arrow Men Stripes Green Slim Fit Shirt,74,67,60
578,Provogue Men Casual Black Casual Shoes,101,101,101
579,Puma Men Schon Polo Green T-shirt,8,6,8
580,ADIDAS Men Anzo Breeze Brown Casual Shoes,4,2,3
581,Maxima Men Silver Dial Chronograph Watch,2,4,2
582,Doodle Boys Printed Yellow T-shirt,19,18,15
583,Basics Men Turquoise T-shirt,101,101,101
584,Titan Men Gold Dial Watch,13,9,11
585,ADIDAS Originals Women Ulama White Casual Shoes,34,22,30
586,Strapless Unisex Red Flip Flops,13,11,8
587,Flying Machine Women HS Blue Shirt,101,48,101
588,Lee Men's Printed White T-shirt,101,13,76
589,Carrera Women Sqaure dial Pink Watches,15,4,8
590,Footfun Kids Unisex Red Shoes,1,2,1
591,Span Women Brown Kurta,16,101,52
592,Wrangler Men Flock Print Grey Sweatshirt,1,1,1
593,ADIDAS Men Grey Printed Sweatshirt,2,2,2
594,Revlon Coffee Sparkles Super Lustrous Lip Gloss 63,13,18,14
595,Lee Men Black Jet Jeans,15,28,15
596,Proline Men White Polo T-shirt,5,6,3
597,Arrow Woman Issey Magenta Top,101,101,101
598,Mark Taylor Men Printed White T-shirt,101,101,101
599,Lino Perros Women Ladies Belts Beige Beige Belts,11,5,6
600,United Colors Of Benetton Men Light Winter White T-Shirts,101,101,101
601,Playboy Men Striped Socks,1,3,1
602,Nike Men Challenger Blue Jersey,101,74,101
603,Peperone Women Blue Handbag,41,101,40
604,Gliders Unisex Zoro Shoes,101,6,21
605,FIFA Mens Mexican Wave Grey T-shirt,2,1,1
606,Puma Men Large Logo Ringer Black Tshirts,1,1,1
607,Mr.Men Men's Green Black T-shirt,64,33,40
608,Lotto Women's Cross Color Black Pink Flip Flop,1,2,1
609,Jealous 21 Women Jealous Ranae White Top White Tops,101,101,101
610,Nike Women Capri White Casual Shoes,13,12,11
611,U.S. Polo Assn. Men Stripes Raspberry Wine Polo Tshirt,1,1,1
612,French Connection Men Red Check Shirt,2,17,3
613,Wrangler Stud Men Black Belts,46,101,86
614,Converse Men Black & Maroon Oxford Casual Shoes,4,13,5
615,Fabindia Women Black Salwar,1,3,2
616,Indigo Nation Men Striped Grey Trousers,101,99,101
617,Palm Tree Kids Girls Printed Maroon Tops,1,3,1
618,United Colors of Benetton Men Solid White Polo Tshirt,51,52,42
619,Femella Women Multi Coloured Shirt,79,28,31
620,Just Natural Unisex Red Rain Jacket,2,2,2
621,Kama Sutra Women Diva Deo,2,2,1
622,ADIDAS Men  Grey Polo T-shirt,10,9,10
623,ADIDAS Kids Duramo Synthetic White Sports Shoes,1,17,1
624,Reid & Taylor Men Bright Assorted Pink Cufflinks,2,2,2
625,Doodle Boy's Athletic 77 Dept Yellow Teen Kidswear,84,1,17
626,s.Oliver Women Solid Magenta Top,38,43,31
627,Locomotive Men Printed Grey T-shirt,2,7,2
628,ADIDAS Unisex Casual Brown Sandals,68,45,42
629,Ivory Tag Women Sparkling Coral Red Necklace,6,1,3
630,Status Quo Men Printed Black T-shirt,9,39,14
631,Lotus Herbals Color Dew Strawberry Nail Polish 951,3,1,2
632,ADIDAS Men Blue & Red F10 Sports Shoes,2,4,2
633,Numero Uno Men Grey & Orange Flip Flops,1,1,1
634,Red Tape Men's Formal Slip-On Black Shoe,69,5,28
635,Police Women Gold-Toned Dial Watch PL11916MSG-06B,13,2,2
636,Nike Women Sphere Purple T-shirt,6,3,3
637,Playboy Men Rap Red Briefs,1,1,1
638,Aneri Women Roshan Peach Kurta,52,15,26
639,Nike Men Sports Shoes,101,101,101
640,Spinz Women Rock n Roll Deo,1,1,1
641,Vans Men Blue Casual Shoes,6,17,8
642,DKNY Women Copper-Toned Chronograph Watch NY8364,2,7,3
643,Converse Unisex Purple Casual Shoes,1,2,1
644,Vishudh Women Pink Salwar and Dupatta,3,8,4
645,Horsefly Men Red Graphic Printed T-Shirt,101,56,101
646,Wildcraft Unisex Grey & Orange Printed Duffle Bag,1,1,1
647,Myntra Men Love Only Purple T-shirt,2,1,1
648,Nike Men Green Jersey,7,14,9
649,Vans Unisex Classic Slip-On Black Casual Shoe,10,24,14
650,Amante Magenta Swimsuit WFSD05,4,2,2
651,ADIDAS Men's Blue Canvas Shoe,77,27,45
652,Nike Men Lunarelite Black Sports Shoes,35,23,14
653,Puma Unisex Stripe Cat Steel Grey Cap,3,2,3
654,Lino Perros Men Red Check Scarf,7,8,7
655,Nike Men's Quoted Black T-shirt,9,3,9
656,United Colors of Benetton Women Solid Pink Scarves,6,16,9
657,Nike Women Purple Sports Shoes,24,22,19
658,Locomotive Men Printed Brown TShirt,19,3,7
659,Gliders Men Olive Green Sandals,62,101,69
660,Sushilas Women Orange Printed Kurta,90,98,96
661,Ray-Ban Men Aviator Steel Sunglasses,4,12,8
662,Gliders Women White & Red Fortes Shoes,19,3,3
663,Lino Perros Men Black & Red Suspenders,2,3,2
664,Puma Men Hazard White TShirt,7,23,9
665,Scullers Men Fil A Fil Purple Shirts,101,48,74
666,ADIDAS Men Cinder Black T-shirt,97,101,97
667,Wills Lifestyle Women Multi Coloured Top,39,10,18
668,Forever New Women Porcelain Black Dress,28,101,45
669,Locomotive Men Checked Green Shirt,52,43,38
670,Nike Men Nike air dictate MSL Black Sports Shoes,16,10,11
671,Stoln Women Orange Handbag,1,5,1
672,Nike Fragrances Men Beyond Elements Perfume 150 ml,80,69,78
673,Jockey MC Men Black Rio Briefs 8033,15,2,8
674,iPanema Women Gold Flats,9,3,5
675,Fossil Women White Dial Watch ES2968,23,23,25
676,Puma Women Zandy Black Ballerinas,5,13,7
677,Maxima Attivo Men Silver Dial Watch,32,14,22
678,Satya Paul White Saree,14,5,4
679,Enroute Kids Girls Red Shoes,10,14,10
680,Puma Men's Splash Navy Blue Flip Flop,3,10,2
681,ADIDAS Men White & Black Polo T-shirt,11,15,11
682,Probase Men Blue Cap,101,101,101
683,Kama Sutra Men Urge Deos,1,1,1
684,Tabac Men Original Eau De Toilette Natural Spray,2,1,1
685,ADIDAS Originals Unisex Red Cap,6,11,6
686,Nike Men Dunk High Grey Shoes,1,3,1
687,Puma Unisex Olive Sandals,2,10,5
688,Enamor Women White and Pink Briefs,61,82,59
689,Playboy Men Khaki Green Socks,3,3,3
690,Cobblerz Women Taupe Brown Sandals,2,101,9
691,Proline Men Black Printed T-shirt,1,1,1
692,Puma Women Imani Shimmer Black Casual Shoes,11,7,8
693,Turtle Check Men Red Shirt,101,51,84
694,Puma Unisex Black Miami II Flip Flops,65,77,62
695,Probase Men's On Stage Black T-shirt,101,4,101
696,Wildcraft Unisex Grey Backpack,6,6,8
697,Puma Men Complete Vectana 2 Black Sports Shoes,1,1,1
698,Amante Women Off-White Lace Bikini Briefs PGSM02,1,32,4
699,Nike Men Blue Manchester United Jersey,1,2,1
700,Classic Polo Men Red T-shirt,101,101,101
701,Indigo Nation Men Checks Green Shirts,101,59,85
702,Basics Men Green & White T-shirt,101,101,101
703,Indigo Nation Men Pv Plan Mix & Max Black Trousers,101,101,101
704,Jockey SP-OW Men Black Innerwear Vest SP11,96,101,101
705,ToniQ Women Multi Coloured Bangle,3,4,3
706,United Colors of Benetton Women Solid Grey Jacket,9,25,12
707,Wrangler Men's Champion Burnt Out Striper Black T-shirt,101,101,101
708,Fabindia Olive Mull Hand Printed Sari,2,1,1
709,SDL by Sweet Dreams Men Mustard Pyjama Set,1,2,1
710,Flying Machine Men Black Polo Tshirts,16,14,13
711,Hanes Men White Assorted Innerwear Vest,8,35,26
712,John Miller Men Solid Black Shirts,46,47,43
713,John Miller Men White checks Blue Shirts,79,101,101
714,Happy Socks Unisex Blue Socks,1,9,2
715,Enroute Women Casual Red Flats,61,69,63
716,Fila Men Survivor Grey Sports Shoes,8,3,7
717,Shree Women Black and White Printed Kurta,8,9,9
718,ADIDAS Neo Women Renewal Purple Shoes,3,2,2
719,Spykar Men Black Sweaters,56,76,60
720,United Colors of Benetton Men Maroon Sweaters,10,17,11
721,Fossil Men Midway Brown Wallet,70,101,99
722,ADIDAS Men Checks Blue Flip Flops,22,101,33
723,Puma Women White Top,101,101,101
724,FCUK Underwear Men Black Printed Brief,1,1,1
725,Latin Quarters Women Navy Blue Shirt,2,6,4
726,Arrow Sport Men Printed Blue Tshirts,56,68,47
727,Deborah Amber 24 Ore Perfect Foundation 5,1,2,1
728,Timex Men Purple Dial Watch T23222,1,1,1
729,Ed Hardy Men White Dial Watch,4,8,4
730,Puma Men Cell Turin Perf 2 White Sports Shoes,13,4,8
731,Tonga Women White Top,101,101,101
732,Puma Men Ducati Graphic White Tshirts,1,1,1
733,Wills Lifetsyle Men Green Polo T-shirt,101,101,101
734,Colorbar Pro Sunset Nail Lacquer 0380,16,5,13
735,s.Oliver Men's All You Need Purple T-shirt,1,1,1
736,Baggit Women Black Belt,101,101,101
737,Calvin Klein Men Grey Brief,1,1,1
738,Gini and Jony Boys Rodeo White T-shirt,1,15,1
739,ID Men Brown Casual Shoes,16,3,11
740,ADIDAS Men One Love Black T-shirt,31,74,48
741,Spykar Women Cult Green T-shirt,40,101,64
742,Reebok Men Raceon White Sports Shoes,78,77,75
743,Catwalk Women Casual Black Heels,4,11,5
744,Titan Men White Dial Watch NA1485YL03,14,10,13
745,Scullers For Her Brown Trousers,5,1,1
746,Nike Men's Air Max Black Shoe,4,3,2
747,Lotus Herbals Nutramoist Skin Renewal Daily Cream,1,1,1
748,Carlton London Women Gold Wedge Sandal,101,101,101
749,Baggit Women Flora Dum Blue Belt,6,26,5
750,Myntra Men Light Blue Shirt,45,51,35
751,Puma Men Pack of 3 Socks,15,1,2
752,Fossil Women Pink Dial Chronograph Watch ES3050,11,5,7
753,Carlton London Women Casual Black Heels,101,82,101
754,Wrangler Men Glow in Dark Teal T-shirt,1,4,1
755,Nike Men Zoom Black Sports Shoe,29,47,35
756,Nike Men Liteforce Green Casual Shoes,4,2,3
757,Jealous 21 Women Jealous Edna Grey Top Grey Tops,101,101,101
758,Being Human Women Silicon Strap Pink Watch,3,2,2
759,Nike Men Basecamp Black Sports Shoes,1,5,1
760,Ant Kids Flower Orange Dresses,9,6,8
761,Ed Hardy Love & Luck Women Mermaid Fragrance Gift Set,1,1,1
762,Quechua Arpenaz 50 Man 10 Beige,11,1,3
763,ADIDAS Men Bounce Trainer Navy Blue Sports Shoes,1,2,1
764,Undercolors of Benetton Men Basic Pack of 2 Innerwear Vests,2,3,1
765,Probase Men Check Grey Trouser,13,101,32
766,Puma Unisex Core Shoulder Black Bags,4,3,3
767,Lotto Men Straight Brown Slippers,2,2,1
768,Guess Women G Hype Silver Watch,7,15,7
769,ADIDAS Men Blue Sports Shoes,48,101,73
770,ADIDAS Women White Core 50 Sports Shoes,39,12,19
771,Tantra Men Feel No Pain White T-shirt,3,1,1
772,Sepia Women Printed Grey Tunic,101,59,77
773,Just Natural Men Military Shade Rain Jacket,2,4,3
774,Lotto Women Pink Flip Flops,10,1,3
775,Lovable Women All Day Long White Bra,31,12,27
776,Nike Men Air Max White Sports Shoes,57,101,83
777,Ed Hardy Men Tiger Print Blue Tshirts,52,2,6
778,ADIDAS Men Blue & White Chelsea FC T-shirt,1,1,1
779,Fabindia Green Maheshwari Maheshwari Zari Saree,2,3,3
780,Doodle Sporty Girl dark Pink Tshirts,101,1,36
781,Nike Men Elite Brown Sports Shoes,14,14,9
782,Puma Women's Future Cat White Purple Shoe,1,1,1
783,Catwalk Women Mary Janes Blue Flats,5,5,2
784,Revlon Coffee Sip Super Lustrous Lipstick 212,9,10,10
785,Asics Men's Sport Running Gel-Pulse 2 Silver Red Shoe,1,1,1
786,Reebok Men Playdry Full Sleeved T-shirt Red,1,2,1
787,Red Tape Men's Formal Lace Black Shoe,101,101,101
788,Vans Men Beige Casual Shoes,12,30,13
789,Red Tape Men Black Floater,35,32,28
790,Hop Scotch Boys Black Sunglasses,101,2,25
791,Timberland Kids Boys Casual Brown Casual Shoes,30,59,30
792,Sepia Women Grey Tunic,101,15,44
793,Puma Men Rio Black Sandal,14,25,17
794,Portia Women Black Wedges,17,27,16
795,Deborah 24 Ore Lip Liner 221,19,5,6
796,Global Desi Women Printed Maroon Kurta,38,29,26
797,Streetwear True Color Peachy Sheen Blusher,2,2,2
798,Remanika Women Lime Green Top,47,32,37
799,Revlon Grow Luscious Graphite Eye Liner,7,2,3
800,Arrow Men Stripes Lavender Shirts,2,12,3
801,Scullers For Her Women Light Work Red Shirts,61,72,58
802,Deborah 24 Ore Lip Liner 215,10,2,1
803,Levi's Men Stripes Maroon Tshirts,26,32,24
804,Jockey MC Men Black Y Front Briefs 8003,7,3,6
805,Fabindia Women Striped Black Kurta,1,4,1
806,Puma Men No. 1 logo Black Track Pant,1,4,1
807,Rocia Women Gold Purse,101,101,101
808,Madagascar3 Girls Pink Shorts,9,14,11
809,Casio Enticer Men Silver-Toned Dial Chronograph Watch BS062,14,59,19
810,ADIDAS Men's Besulik Trainer White Black Red Shoe,12,6,9
811,Fastrack Men Date Black Watches,101,34,101
812,Bata Men Sandy Blue Flip Flops,101,101,101
813,Kiara Women Leatherette Light Green Handbag,5,4,3
814,Titan Women Maroon Watch,1,1,1
815,W Women Cream Kurta,101,101,101
816,French Connection Women White T-shirt,101,101,101
817,Streetwear Stay On Liquid Eye Liner,10,4,6
818,Colorbar Exclusive Nail Lacquer 60,74,6,52
819,Puma Men Graphic Tee Red Tshirt,101,60,101
820,Fastrack Unisex Polyester Black Belt,30,31,5
821,HM Women Beige Sandals,40,40,35
822,French Connection Women Khaki Bag,101,101,101
823,Angry Birds Men Printed Charcoal Grey T-shirt,1,1,1
824,DKNY Women White Dial Chronograph Watch NY8321,3,1,3
825,Fabindia Women Pink Dupatta,4,1,1
826,Arrow Sport Men Printed Purple Tshirts,19,101,37
827,United Colors of Benetton Women Check Navy Blue Shirts,27,8,15
828,Arrow Men Stripes White Blue Shirts,101,101,101
829,CASIO Edifice Men White Dial Chronograph Watch EX006,5,4,5
830,Fila Men Terra Navy Blue Slippers,11,3,9
831,Nike Men Printed White Sweatshirts,1,3,1
832,Puma Men Chino Brown Shorts,6,1,1
833,Wrangler Men Pontius Striped Blue Shirt,45,101,61
834,ADIDAS Women Trainer White Sports Shoes,14,41,22
835,Puma Men Blue Striped Polo T-shirt,2,6,2
836,Scullers For Her Grey Trousers,5,10,7
837,Myntra Men Navy Blue Check Shorts,15,2,7
838,Colorbar Velvet Matte Obsessed Orange Lipstick 60 OR,1,1,1
839,Bwitch Enchant Lavender & White Printed Bra RTV-BW297,30,10,20
840,Allen Solly Woman White Trousers,2,1,2
841,ADIDAS Men Mumbai Indians Match Blue Cap,2,1,2
842,Femella Women Purple & Black Dress,1,1,1
843,Catwalk Women Gold Toned Wedges,11,1,4
844,Aurelia Women Purple Dupatta,18,68,29
845,Casio Enticer Men Silver Analogue Watch MTP-1243D-7AVDF(A218),2,1,1
846,Gini Jony Boys Black Shirt,27,101,39
847,Puma Unisex K9 Grey Yellow Floater,1,1,1
848,Jealous 21 Women Pink Printed T-shirt,8,19,8
849,Nike Women Bleach Grey T-shirt,1,1,1
850,Levis Men Printed Olive Sweatshirts,1,1,1
851,UCB Women's Sleeveless Cowl Neck Blue Top,3,3,2
852,Timex Women Lavender Dial Watch,1,1,1
853,Highlander Men Brown Checked Shirts,11,22,14
854,ADIDAS Men Magenta & White Shirt,101,101,101
855,Locomotive Men Printed Blue T-shirt,101,56,101
856,Pieces Women Peach Leggings,4,13,5
857,Forever New Women Black Trouser,13,5,8
858,French Connection Men Grey Printed T-shirt,8,3,3
859,Jungle Book Boys Little help Blue T-shirt,12,1,3
860,Timberland Men Casual Brown Casual Shoes,12,1,3
861,Lotto Men Kochi Tuskers Authentic Orange Jersey,2,3,3
862,Jungle Book Boys Sherekhan Navy Blue T-shirt,3,1,1
863,FILA Men FILA Runner White Sports Shoes,13,15,9
864,Lakme Absolute Liplast Night Silk Lip Gloss,21,36,17
865,Reid & Taylor Men Pink Tie,1,1,1
866,Rockport Men Jefford Brown Formal Shoes,64,64,56
867,Murcia Women Hddcs Green Handbags,74,24,37
868,ADIDAS Unisex Ep Bp Adv Casu Brown Backpack,3,19,3
869,Puma Women Campus Grip Green Duffle Bag,1,1,1
870,United Colors of Benetton Women Purple Top,75,44,52
871,Superman Men's Dont Art Me Dark Red T-shirt,1,1,1
872,U.S. Polo Assn. Unisex Black Laptop Bag,55,45,48
873,Wrangler Men Striped Lining Brown Wallet,81,46,63
874,Wrangler Women Long Polka White Blue Black Top,48,101,74
875,United Colors of Benetton Women Printed Olive T-shirt,2,7,2
876,Belkin Unisex Black Dash Laptop 16 Toploader Handbag,32,44,34
877,Prafful Purple & Beige Sari,2,7,1
878,ADIDAS Women White Aerostar Sports Shoes,19,34,18
879,Calvin Klein Mens blue Boxers,1,1,1
880,ADIDAS Men Revo Navy White Jacket,2,5,2
881,Nike Women White Sweet Classic Leather Shoes,13,8,12
882,Nike Women Grey Lunarglide Sports shoes,15,2,8
883,ADIDAS Men's Logo Black T-shirt,3,2,2
884,Carlton London Women Black Flats,101,101,101
885,United Colors of Benetton Women Solid Black Wallets,6,1,4
886,Nike Women Pink T-shirt,4,6,3
887,Quechua Men Arpenaz Brown Sandal,1,1,1
888,ADIDAS Unisex Sports Navy Blue Caps,3,3,3
889,Forever New Women Blossom Silk Cream Dress,14,9,9
890,Police Wings Women Perfume,44,27,33
891,Nike Unisex Multi Coloured Metropolis Messenger Bag,1,1,1
892,ADIDAS Women's V Neck With Crystal White T-shirt,39,101,48
893,Flying Machine Men Printed Green Sweatshirts,2,1,1
894,Belmonte Men Stripes Blue Shirts,101,101,101
895,Lotto Men's Rio Velcro Black Shoe,1,1,1
896,Fila Men Smash III Black Sports Shoes,14,2,6
897,Jealous 21 Women Navy Black Top,101,101,101
898,York Men Dark Knight Perfume,8,3,5
899,Nike Men Football Soccer White Tshirts,4,13,5
900,Lee Men Printed Blue Tshirts,5,12,6
901,Baggit Women Orange Choti Eva Belt,3,2,2
902,Fabindia Women Blue Solid Kurti,53,27,37
903,Fossil Women Silver Sasha Belt,1,1,1
904,Gini and Jony Boy's Kangaroo Green White Kidswear,52,2,16
905,Puma Men Large Logo Black T-shirt,5,19,7
906,Madagascar3 Infant Girls Light Green Spaghetti Top,1,1,1
907,Femella Wooden Balls Necklace,20,49,28
908,Wrangler Men Braga Striped Purple Shirt,101,66,84
909,Nike Women's Power Sphere Polo T-shirt,4,9,6
910,Lee Women's Spotty Offwhite T-shirt,7,7,6
911,Numero Uno Men White Shoes,1,3,2
912,Puma Women Stawberry Pink Flip Flops,29,5,11
913,Puma Men Trek Black Sandal,101,101,101
914,United Colors of Benetton Men Pack of 2 White Socks,2,3,2
915,Span Women Maroon & Black Kurta,50,23,24
916,CASIO ENTICER Women Black Dial Watch A622,65,101,80
917,United Colors of Benetton Girls Printed Navy Blue Dress,2,2,2
918,Fastrack Men Non Leather Black Belts,101,101,101
919,Deborah Extra Lip Liner 03,9,1,2
920,Puma Women Axis XT Wn s Black Sports Shoes,3,1,2
921,John Miller Men Solid White White Shirts,41,96,60
922,Lotto Men Grey Skateboard Shoes,18,1,6
923,Puma Men Track White Silver Watches,8,10,8
924,Global Desi Women Black Printed Kurta,10,27,14
925,Jockey Women Grey Melange Knit Capris 1300,2,1,1
926,Global Desi Women Blue & Pink Tunic,101,3,34
927,Nike Fragrances Men Fission Deo,1,1,1
928,Carlton London Women Stylish Black Flats,101,23,101
929,Gliders Unisex Brown Shoes,101,36,101
930,Fabindia Men Beige Churidar,4,4,4
931,CASIO G-Shock Men White Analogue& Digital Watch G303,2,3,2
932,Buckaroo Men Grey Shoes,6,5,5
933,Quiksilver Unisex Black Backpack,3,1,1
934,Revlon Plum Sexxxy Honey Kiss Lipstick 08,101,82,87
935,FNF Mustard Printed Sari,5,1,3
936,Lino Perros Women White Wallet,13,1,1
937,Facit Men Navy Blue Brief,3,2,3
938,Basics Men Navy Slim Fit Shirt,101,101,101
939,Red Chief Men Brown Leather Shoes,9,29,15
940,FNF Pink Collection for Wedding Sari,2,2,2
941,Locomotive Men American Glory White Tshirts,2,1,2
942,Flying Machine Men Stripes White Polo Tshirts,101,78,101
943,Angry Birds Women Yellow T-shirt,1,1,1
944,Aneri Women Shruti Lavender Kurta,20,2,7
945,Jealous 21 Women Purple Magic Colour Jeans,1,1,1
946,Baggit Women Square Taj Brown Wallet,58,35,44
947,Playboy Men Rap Grey Brief,2,3,3
948,Jockey Women Black Camisole,8,8,8
949,"Myntra Mens Be Reasonable,Do It My Way T-shirt",2,1,1
950,Fila Men Mercury Black Shoes,59,1,28
951,Fruit of the Loom Men White Pack of Three Socks,1,1,1
952,Myntra Navy Blue Printed Boxers,11,3,8
953,F Sports Men White Charger Shoes,101,58,101
954,Lee Women Rinse Blue Jeans,28,38,31
955,Spykar Women Liana Blue Jeans,21,31,20
956,ADIDAS Men Adna Black Jackets,2,2,2
957,Lee Women's Clara White T-shirt,101,101,101
958,Senorita Women Yellow & Purple Flats,1,1,1
959,ADIDAS Men's Woven Dark Navy White Track Pant,30,11,19
960,s.Oliver Women Black Tank  Top,19,20,15
961,Playboy Men White Brief,1,1,1
962,Lotto Men Black Chamonix Sports Shoes,67,51,55
963,Lotus Herbals Pomegranate & Plum Energizing Skin Polisher,2,2,2
964,Puma Women Pink & Grey Backpack,2,2,2
965,Mother Earth Women Beige Printed Top,101,101,101
966,FNF Yellow and Red Printed Bandhani Sari,1,1,1
967,Arrow Sport Men Printed Charcoal T-shirt,7,1,4
968,Salomon Men X-Tracks GTX Black Sports Shoes,6,7,7
969,Puma Men's 3 Black T-shirt,101,76,101
970,Fila Men Dls Nitrous Black Sports Shoes,17,14,14
971,Gini and Jony Boy's Karl Blue White Kidswear,9,101,17
972,ADIDAS Men F50 Cl Tee Black T-Shirts,1,2,1
973,Coolers Men Brown Sandals,30,1,1
974,Jealous 21 Women Brown Jeggings,3,1,1
975,Nike Men's Teal Blue Polo T-shirt,55,101,101
976,OTLS Men Brown & Black Reversible Leather Belt,70,63,79
977,Nike Men Club Jersey Blue T-shirt,101,90,101
978,Elle Women White Jacket,1,1,1
979,Hanes Men Square Vest Neck Grey Innerwear Vests,6,3,4
980,Colorbar Suede Bloom Compact 007,52,41,37
981,ADIDAS Men Slimsoll White Sports Shoes,51,8,11
982,ADIDAS Blue Cap,1,1,1
983,Nike Men's Woven White Short,4,4,3
984,ADIDAS Originals Men Chase Black Casual Shoes,101,101,101
985,Colorbar Caramel Treat Instant Coverup Foundation 002,30,13,20
986,Little Miss Women Printed White T-shirt,2,2,2
987,Forever New Women's Cream Floral Print Top,19,9,14
988,ADIDAS Unisex Digital Black Watch,18,27,21
989,Carrera Men Sporty Rubber Strap Yellow Watch,1,1,1
990,Puma Men's Basket Classic White Shoe,2,2,2
991,Enamor Black High Spirits Bra,34,24,24
992,United Colors of Benetton Men Check Purple Shirt,13,5,7
993,Lino Perros Women Flower Rust Wallet,14,9,7
994,Titan Men Gold-Toned Watch NB390YM03,2,10,2
995,ALayna Women Mustard Kurta,6,1,2
996,Puma Men Even Keel Casual Shoes,20,101,37
997,Artengo 452c Boy Kd White,1,1,1
998,Lakme Absolute Forever Silk Chestnut Lip Liner 03,11,19,9
999,Lotus Herbals Floralstay Lipstick 434,47,19,28
1000,Indigo Nation Men Printed Blue Shirt,35,73,32
