qi,query,rank_a,rank_b,rank_f
111,Enamor Brown Bra,1,2,1
112,Nike Men Basketball Jersey Grey Jerseys,1,1,1
113,Converse Unisex Ct As Rolldown Hi Black Casual Shoes,2,5,2
114,Amante Pink Full-Coverage Bra BCSB01,63,25,41
115,Maxima Men Digital Watch,1,1,1
116,French Connection Women Black  Printed Top,36,37,35
117,UCB Men's Roundneck With Big Print White T-shirt,101,101,101
118,Converse Men's Chuck Taylor Print OX Black Canvas Shoe,13,6,10
119,Converse Men Red Lace Black Shoes,5,3,4
120,Deborah Truy Pink Volume Lip Plumper 01,1,1,1
121,Hanes Men Blue V DuoDry Body Fit V-Neck T-shirt,6,3,4
122,Puma Men Contest HI Navy Blue Sports Shoes,5,5,4
123,Reid & Taylor Men Check Blue Muffler,4,4,3
124,Franco Leone Men Black  Sandals,7,1,2
125,Little Miss Women Printed Grey T-shirt,6,29,7
126,Indigo Nation Men Check Navy Blue Shirt,101,101,101
127,Spykar Men Passion Navy Blue Shirt,6,14,5
128,Puma Men College Athletic Red Tshirt,9,3,5
129,Franco Leone Men Formal Shoes,60,101,82
130,Tonga Women Printed Red Top,66,31,46
131,Prafful Green Sari,101,101,101
132,Bulchee Men Jeans Handstitch Black Belt,63,98,68
133,Locomotive Men Radley Blue Jeans,23,62,29
134,Nike Women Black Solarsoft Thong Flip Flops,4,11,4
135,Jockey COMFPLUS Men Charcoal Grey Y Front Briefs 8004,11,13,10
136,Kama Sutra Women Maya Deo,9,1,1
137,Streetwear Snazzy Nail Polish 15,53,23,44
138,Red Tape Men Leather Black Shoes,62,18,31
139,Vishudh Women Yellow Printed Kurta,1,1,1
140,Fossil Men Johnston Rev Brown Belt,35,101,60
141,Prafful Off White Printed Sari,42,18,30
142,Aneri Women Green Leggings,7,4,6
143,Nike Men Orange Football Tshirt,1,1,1
144,Mumbai Indians Kids Match Jersey,8,1,3
145,Scullers Men Brown Trousers,50,80,72
146,United Colors of Benetton Men Sunglass,72,2,19
147,Numero Uno Men's Khaki Shoe,101,101,101
148,Tonga Women Black & Grey Top,101,39,58
149,John Players Men Printed Blue T-shirt,101,101,101
150,Timex Men Black Dial Watch T2N522,26,21,23
151,ADIDAS Unisex Star Blue Backpack,1,1,1
152,Arrow Men Navy Blue Shoes,18,13,13
153,Gas Men Brown Clapton Shoes,34,47,26
154,Deborah Ultra Fine Compact Powder 02,4,3,3
155,Park Avenue Men Lavender Tie,3,7,4
156,Peter England Men Green Printed T-shirt,58,66,54
157,U.S. Polo Assn. Men Stripes Limoges Polo Tshirt,2,8,2
158,Catwalk Women White Casual Flats,24,1,7
159,Disney Kids Girl's Yellow Daisy Kidswear,1,3,1
160,United Colors of Benetton Men Stripes Green Socks,15,29,18
161,Revlon ColorSilk Luminista Golden Brown Hair Colour 120,1,1,1
162,Catwalk Women Corporate Leather Black Heels,101,101,101
163,Nike Men's Air Coutblastic Grey White Black Shoe,1,56,4
164,Puma Unisex Cat Red Headband,1,1,1
165,Belkin Unisex Simple Messenger Blue Handbags,5,6,2
166,Flying Machine Men Black Belt,5,4,2
167,Biba Women Red Printed Churidar Kurta with Dupatta,3,5,3
168,Ray-Ban Men Carbon Fibre Copper Sunglasses,3,1,2
169,Classic Polo Men's Blue T-shirt with Black Stripe,50,73,53
170,Jockey ELANCE Men Navy Blue Briefs 1004,9,19,10
171,Chhota Bheem Analog Kids-Boys Torquoise Blue Watch,2,1,1
172,Olay Women White Radiance Advanced Fairness Protective Lotion SPF 24,1,1,1
173,Senorita Women Green Sandals,43,58,43
174,UCB Women Racer Back Pink Top,18,36,18
175,Colorbar Exclusive Nail Lacquer 53,24,34,24
176,ADIDAS Men Printed Purple Sweatshirts,74,32,47
177,Maxima Ssteele Men Off White Watch,100,25,59
178,Nike Men's As Vapor Ulti Grey Black T-Shirt,1,1,1
179,ADIDAS Men Blue Slide Flip Flop,4,16,6
180,Remanika Women Black and White Top,4,4,1
181,Rockport Men Drsp Moc Front Black Formal Shoes,10,1,3
182,Fabindia Women Printed Mustard Kurta,3,2,2
183,Nike Unisex Red Cap,10,7,7
184,Timberland Men Bonded Fleece Full Zip Blue Jacket,1,3,2
185,United Colors of Benetton Women Solid Black Tshirt,52,101,74
186,FNF Brown & Gold Wedding Collection Sari,2,1,1
187,Guess Women Steel-Toned Dial Watch W13582L2,18,18,18
188,Being Human Men Black Dial Steel Plated Strap Watch,101,101,101
189,Fossil Men Brown Hanover,101,101,101
190,Arrow Woman Solid Grey Skirt,6,6,6
191,Tantra Kid's Unisex Naughty Crime Orange Kidswear,1,2,1
192,BIBA OUTLET Women Green Leggings,8,18,14
193,United Colors of Benetton Unisex Black Duffle Bag,36,18,21
194,Playboy Men Vegas Perfume Buy 1 Get 1 free,28,8,15
195,Do u speak green Men Yellow T-shirt,84,90,80
196,Femella Women Printed Cream Shirt,16,6,7
197,United Colors of Benetton Men Red Flip Flop,1,1,1
198,ADIDAS Kids Unisex YG 3S Core Ess Pink T-Shirt,1,1,1
199,Skechers Men Arnold Black Floater,36,101,62
200,United Colors of Benetton Men Checks Blue Shirts,44,101,61
201,Arrow Men Brown Casual Shoes,6,101,18
202,Timex Women Blue Watch,2,1,1
203,Nike Women Sweet Classic White Pink Shoe,1,3,1
204,Louis Philippe Men Sunglasses LP045-C5,101,101,101
205,Diva Women Blue Kurta,89,101,101
206,Horsefly Men Black Shirt,101,101,100
207,Fabindia Women Printed White Kurta,4,1,1
208,Wrangler Men Tiny Maroon Shirt,101,8,36
209,Myntra Women Grey Top,101,101,101
210,ADIDAS Men Black Tracksuit,1,2,2
211,Gini and Jony Girl's Sara Off White Polka Dot Kidswear,43,3,11
212,Vans Men Grey Authentic Casual Shoes,6,9,6
213,Colour me Men Green Deo,1,1,1
214,Giordano Women Chronograph Blue Dial Watch,1,1,1
215,Red Tape Men Olive Shoes,23,38,22
216,FNF Black & Red Collection For Wedding Sari,4,1,1
217,Myntra Men White and Navy Blue Check Shirt,11,58,13
218,Nike Women White Capri II Sports Shoes,14,13,12
219,Levis Men Black & White Trunks,2,2,2
220,Inc. 5 Women Casual White Heels,35,4,16
221,Probase Men's Last Week Grey T-shirt,3,1,1
222,Rasasi Women Temptation Perfume,101,7,36
223,Do u speak green Women Yellow T-shirt,101,101,101
224,W Women Cream Kurtis,101,101,101
225,Nike Women Sweet Classic Purple Casual Shoes,2,3,2
226,Cobblerz Women Grey & Peach Sandals,3,3,3
227,Gini and Jony Boys Check White & Black Shirt,5,9,5
228,Lotus Herbals Frujuvenate Skin Perfecting & Rejuvenating Fruit Pack 350 g,1,1,1
229,Q&Q Kids Unisex Red Digital Watch,1,1,1
230,ALayna Women Multi Coloured Kurta,101,101,101
231,Red Tape Men Brown Leather Casual Shoes,88,24,45
232,Indigo Nation Men Striped Shirt,101,101,101
233,Casio Enticer Men Silver Analogue Watches (A168) MTP-1192A-1ADF,55,54,54
234,Chromozome White Innerwear Vest PR-08,1,14,1
235,Amante Black Full-Coverage Bra BFOM12,1,10,4
236,ADIDAS Women Purple Happy Weather Backpack,5,2,2
237,ADIDAS Originals Men Vespa Graphic Blue Tshirt,3,1,2
238,Arrow Men Yellow Cap,2,1,1
239,Crocs Women Abf Single Flip Slippers,6,1,5
240,Aurelia Women Voile Orange Dupatta,17,5,12
241,Genesis Men Solid White Shirts,21,46,26
242,Lee Cooper Men Brown Sandals,1,7,1
243,Gini and Jony Girls Navy Blue Skirts,3,14,8
244,Rasasi Men Instincts Deo,6,1,2
245,ADIDAS Womens Blue  Polo T-shirt,1,2,2
246,Rockport Men's Capella Beige Shoe,13,9,7
247,W Women Printed Red Kurtas,101,101,101
248,Fabindia Women Mustard Kalamkari Salwar,11,2,2
249,Classic Polo Men Pink Black Stripes T-shirt,2,3,3
250,Revlon Opulent Pink Nail Polish 376,13,3,5
251,Globalite Women Pink Sandals,3,1,1
252,Indigo Nation Men Hot Stepper Blue Striped Shirt,101,101,101
253,Vishudh Women Printed Olive Kurta,32,15,19
254,Baggit Women Golmaal Taj Black Handbag,101,39,65
255,Nike Men's Tennis Mas Black T-shirt,1,1,1
256,BOSS Men Boss Bottled Fragrance Gift Set,2,2,2
257,Inc 5 Women Casual Pink Heels,29,4,14
258,Colorbar Fudge Nail Lacquer 16,22,44,30
259,Rreverie Sea Green Earrings,10,3,5
260,J. DEL POZO Women In Black Eau De Toilette Spray 100 ml,1,1,1
261,Lee Women Printed Blue Tshirts,27,48,28
262,ADIDAS Women Oregon 11 Navy Blue Sports Shoes,4,4,2
263,Skechers Men's Casual  Charcoal Shoe,16,31,19
264,Fila Men Grey & Black Aqua Grippare Sports Sandals,25,25,13
265,Puma Men D Force Mid SF Black Casual Shoes,3,4,3
266,Lino Perros Women Leatherette Brown Wallet,101,82,101
267,Cat Men Classic Black Sunglasses,101,99,101
268,Nike Men's Chroma Thong White Red Flip Flop,2,2,2
269,Puma Men Grey Honeycomb Polo T-shirt,26,52,29
270,Lotus Herbals Purple Star Nail Polish 85,5,1,3
271,Clarks Men Nature Easy Leather Black Casual Shoes,3,2,3
272,Enroute Women Grey Flats,101,101,101
273,Arrow Men Navy Blue Suspenders,1,1,1
274,Dunhill Desire Men Perfume,2,6,3
275,Nike Men's Zoom For 3 White Blue Shoe,55,68,50
276,Chromozome Men White Innervests (Pack of 2),38,25,36
277,Ant Kids Girl's Tiger Print Kidswear,101,17,33
278,Reebok Men Runtone Action White Sports Shoes,1,3,1
279,Mr.Men Men's Mr.Busy Navy T-shirt,3,2,3
280,Sushilas Women Printed Green Kurta,16,39,17
281,Fabindia Turquoise Blue Hand Printed Sari,4,4,4
282,Scullers For Her Striped Black Shirt,101,53,101
283,Fabindia Men Rust Kurta,3,4,3
284,Nike Men Air Relentless 2 MSL White Sports Shoes,13,11,8
285,Wildcraft Men Light Quilt Black Jacket,2,2,2
286,Fastrack Men Red and Black Dial Watch,8,14,10
287,Gini and Jony Girls Polo Striped Blue T-shirt,2,2,1
288,Ed Hardy Women Silver Dial Watch,4,1,3
289,Cobblerz Men Black Leather Sandals,101,101,101
290,Puma Unisex Pack of 3 Socks,25,1,4
291,Biba Women Orange & Purple Printed Churidar Kurta with Dupatta,3,1,2
292,Spykar Women Jeans,7,8,7
293,Lino Perros Women Leatherette Orange Handbag,1,1,1
294,Allen Solly Unisex Sunglasses AS123-C2,101,101,101
295,Rocia Women Casual Tan Sandal,3,1,1
296,Catwalk Women  Beige Casual Shoes,1,3,1
297,Marvel Boys Navy Blue Sandals,30,19,20
298,s.Oliver Men Black Sweater,3,3,3
299,Fossil Women Multi Coloured Ombre Braid Belt,3,1,2
300,Arrow Woman Blue Jeggings,101,21,101
301,Ganuchi Men Black Sandals,20,1,24
302,United Colors of Benetton Men Brown Shoes,27,2,8
303,Deborah Shine tech Red Passion Nail Polish 29,1,2,2
304,Nike Women Casual Purple Handbag,1,2,2
305,Lino Perros Men Formal Black Accessory Gift Set,2,1,1
306,Nike Men Lunarfly +3 Black Sports Shoes,11,25,13
307,Nike Men Blue Energy Jersey,80,70,72
308,Rockport Men's Abraim Cordovan Shoe,3,28,5
309,Probase Men's Away To Glory Grey Tshirt,3,1,1
310,United Colors of Benetton Men Check Purple Tie,9,6,9
311,Arrow Sport Men Brown Cargo Shorts,2,1,1
312,Locomotive Men Printed Maroon TShirt,2,2,1
313,John Players Men White Check Shirt,101,101,101
314,Wrangler Men Green & Blue Check Shirt,83,5,25
315,Fabindia Silver Pendant,12,15,10
316,Classic Polo Men Printed pack of 3 Tshirts,1,1,1
317,Marvel Boys Green T-Shirt,1,1,1
318,Puma Women Script Green Top,18,6,7
319,Folklore Women Maroon Printed Kurta,7,41,14
320,Allen Solly Women Purple Sunglass,19,9,14
321,ADIDAS Men Navy Blue 3/4 Pant,101,64,71
322,Disney Kids Boy's Yellow Squirrel Kidswear,1,1,1
323,Palm Tree Kids Boys Printed Navy Blue Tshirts,3,1,3
324,Lino Perros Women Leatherette Blue & Black Handbag,27,27,18
325,Playboy Men Black & Red Socks,1,1,1
326,ADIDAS Mens Crew Red T-shirt,4,3,3
327,Carolina Herrera Women Chic Eau De Perfume 80 ml,1,1,1
328,Heart 2 Heart Women Multicoloured Briefs H2H-4-201,61,9,28
329,ToniQ Women Multi Coloured Bangles,6,5,5
330,Highlander Men Green Striped Shirt,32,10,16
331,Fossil Men Walter Traveller Brown Wallet,42,21,26
332,Fila Women Navy Blue Savari 3/4th Pants,9,1,2
333,FIFA Men Printed Navy Blue T-shirts,7,18,9
334,SDL by Sweet Dreams Women Blue Nightdress,19,29,21
335,Tortoise Women Yellow Sling Bag,1,2,1
336,Turtle Men Solid Khakhi Trouser,101,101,101
337,Franco Leone Men Brown Formal Shoes,1,1,1
338,Reebok Reelive Women Perfumes,1,1,1
339,Doodle Girl's Hippie Chic White Teen Kidswear,14,3,3
340,Q&Q Women Black Dial Analog Watch,2,2,2
341,Jealous 21 Women Solid Pink Sweater,22,13,15
342,Fabindia Men Khadi Green Kurta,5,4,4
343,United Colors of Benetton Women Printed Purple Tshirts,19,17,16
344,Wills Lifestyle Women Black Trousers,1,1,1
345,Slazenger Men Extreme Deo,3,1,2
346,Rocia Women Casual Brown Sandal,11,61,19
347,Tantra Men Black Printed T-shirt,10,101,19
348,Myntra Men Swag on Black T-shirt,1,1,1
349,Dolce & Gabbana Men The One Perfume,1,1,1
350,Catwalk Women Classic White Heels,44,17,26
351,United Colors of Benetton Women Grey Sweater,8,21,10
352,Colorbar Exclusive Nail Lacquer 44,63,101,82
353,Estd. 1977 Men Beige & Green Sandals,5,33,6
354,Gini and Jony Boys Navy Blue Shorts,5,46,9
355,Enamor Women Classique Black Bra,101,101,101
356,ADIDAS Originals Women Decade Low Sleek Red Casual Shoes,3,1,2
357,UCB Men Basic Logo Pink Shirt,2,17,4
358,Myntra Men Wasted Pink T-shirt,20,14,15
359,Mark Taylor Men Light Brown & White Striped Shirt,2,3,1
360,Deborah 7 Days Long Light Purple Nail Polish 827,1,1,1
361,Skechers Men's Torino Black Shoe,64,75,55
362,Myntra Men Mere Pass Maal Hai Black T-shirt,1,1,1
363,Little Miss Women Printed Light Green T-shirt,5,15,7
364,Puma Women Roque Navy Blue Sandals,2,2,2
365,Pitaraa Women Mustard Clutch,7,2,5
366,Nike Men Dunk Low Black Sports Shoes,1,1,1
367,United Colors of Benetton Men Charcoal Shirt,41,30,26
368,ADIDAS Men's Twelve Faster T-shirt,38,1,2
369,Genesis Men Black Solid Trouser,14,101,48
370,Citizen Men White Dial Eco-Drive Watch AW1010-57B,2,3,2
371,Gini and Jony Kids Unisex Blue Jeans,18,22,19
372,Wills Lifestyle Women White Dress,1,1,1
373,French Connection Men Green Shirt,13,23,12
374,Nike Unisex Hayward Black Backpack,1,2,1
375,ADIDAS Originals Unisex Adicolor Navy Blue Cap,1,1,1
376,Aurelia Women Black Kurta,10,2,3
377,Free Authority Men White Striped T-shirt,101,57,101
378,Lotus Herbals Pretty Pink Nail Polish 953,12,20,14
379,Maxima Unisex Black Dial His and Hers Watches,1,1,1
380,Reid & Taylor Men Navy Blue Silk Knot Cufflinks,1,2,2
381,Gini and Jony Kids Boys Check Green Shirts,1,1,1
382,Proline Men Black & Navy Striped Polo T-shirt,101,101,101
383,Casio Youth Series Men Silver-Toned Marine Sports Watch MW-600F-7AVDF(A507),1,5,1
384,Tantra Men Red Printed T-shirt,101,101,101
385,CASIO ENTICER Men Navy Dial Analogue Watch A629,8,12,8
386,French Connection Women Violet Top,101,101,101
387,Nike Men Green Liteforce Casual Shoes,2,1,1
388,Lotto Men Black Trainer Sports Shoes,4,45,8
389,Be For Bag Women Zoli White & Red Bag,12,4,5
390,FNF Women Multi Coloured Sari,101,101,101
391,Domyos Men Performance Blue T-shirt,41,9,20
392,Mod'acc Women Pink & Beige Handbag,5,1,2
393,United Colors of Benetton Men Stripes Grey Shirts,101,80,101
394,Visudh Green Printed Ethnic Kurta,101,101,101
395,Aneri Women Nivedita Black Kurta,101,101,101
396,Newfeel Men Black & Silver Shoes,2,2,2
397,Hidekraft Women Leather Brown Handbags,10,39,16
398,Puma Women Grey Capri Pants,6,35,12
399,Tantra Women Ornament Lavender Long T-shirt,29,3,6
400,ADIDAS Men Barricade Team White Sports Shoes,7,11,6
401,Revlon Baked Bronze Liquid Eye Liner 02,1,1,1
402,Nike Men Air Quick Handle White & Black Sports Shoes,10,19,9
403,Colorbar Electra I-Glide Eye Pencil 04,1,3,1
404,Proline Men Teal Green Polo T-shirt,23,14,15
405,Femella Brown Necklace,6,4,3
406,Lee Cooper Men Brown Casual Sandals,54,1,4
407,Puma Men Black Shorts,1,3,3
408,Idee Men Sunglasses,101,101,101
409,Puma Men spine tee Yellow Tshirts,6,27,9
410,Lakme Truewear Color Crush Nail Polish 13,14,21,16
411,Amante Black Printed Full-Coverage Bra BGSW01,19,4,6
412,Nike Mens Red Bleed Blue T-shirt,1,1,1
413,Scullers Men Striped Purple T-shirt,51,62,51
414,Clarks Men Brown Latch Port Suede Loafers,19,2,6
415,Wrangler Women Star Blue Top,99,19,43
416,Lakme Truewear Color Crush 22 Nail Polish,23,37,27
417,DUSG Men's Gorilla Organic Natural T-shirt,1,1,1
418,Probase Men White Grafitti Orange Tshirts,42,48,33
419,ONLY Women Pink Dress,19,24,22
420,Enroute Men Brown Sandals,101,101,101
421,Quechua Men's Black T-shirt,3,1,1
422,Puma Unisex Scuba Black Sandals,101,101,101
423,Basics Men Blue Checked Shirt,50,4,11
424,Yelloe Off White Fur Zip Clutch,1,4,1
425,Police Passion Men Fragrance Gift Set,1,1,1
426,Puma Women Core Lite Shopper White Bags,20,4,10
427,Nike Men Solid Red Jerseys,1,8,2
428,ADIDAS Women Polka Pink Flip Flops,2,1,1
429,Baggit Women Teal Rocker Taj Belt,7,1,2
430,Murcia Women White With Stitch Bag,13,2,3
431,John Players Men Printed Grey T-Shirt,1,1,2
432,Adrika Pink Earrings,9,7,8
433,Wildcraft Unisex Cruiser Red Backpack,14,20,16
434,Celine Dion Women Belong Perfume,1,1,1
435,Tonga Women Peach-Coloured Top,44,15,25
436,United Colors of Benetton Men Summer Blue Shirts,13,1,1
437,Gini And Jony Boys Printed Yellow T-Shirt,42,31,35
438,Fastrack Women Red Handbag,21,101,37
439,Tantra Men Digi Skull Maroon T-shirt,1,1,1
440,Revlon Fuchsia Fever Nail Polish 368,4,1,2
441,Wrangler Men Dark Purple Shirt,32,53,27
442,Envirosax Women Black & Grey Bag,3,2,2
443,Fabindia Women Printed Beige & Rust Stole,29,38,35
444,U.S. Polo Assn. Kids Boys Orange T-shirt,2,1,1
445,HIghlander Men Olive Trousers,37,32,29
446,United Colors of Benetton Men Stripes White Socks,3,89,10
447,Vishudh Women Self Printed Off White Kurta,101,59,84
448,Fastrack Women Black Dial Watch NA2394SL02,14,13,13
449,Alma Women Orange Kurta,22,31,26
450,Puma Men Grey Street Jump Shoes,18,74,14
451,Colour Me Women Red Perfume,19,12,14
452,UCB Women's Rollup Armhole White T-shirt,101,101,101
453,Levis Kids Girl's Denise Pink Teens Kidswear,101,101,101
454,ADIDAS Originals Unisex Black Cap,1,5,1
455,Jockey Sport Performance  Men Green Brief SP02,4,1,1
456,Puma Women Temptation 93 Black Watches,3,25,4
457,Allen Solly Women Sunglasses AS166-C1,101,101,101
458,Lotus Herbals Cocomoist Moisturising Lotion,1,1,1
459,Puma Men Top Fluctuation Red Black Watches,8,5,7
460,Crocs Kid's Unisex Basic Clog Blue Kidswear,1,1,1
461,Lotto Men's Leisure White Shoe,21,31,22
462,Jungle Book Boys Safari White T-shirt,9,3,4
463,UCB Women Short Sleeve Black Top,101,101,101
464,French Connection Women Beige Straw Bag,10,9,6
465,Colorbar Gold Dust Nail Lacquer 10,1,1,1
466,ADIDAS Men Ess F Logo Green T-Shirts,3,2,3
467,Mr. Men Little Miss Girls White Printed Top,11,3,7
468,Fabindia Women Red Chanderi Dupatta,27,8,19
469,Doodle Boy D Print Blue Tshirts,101,101,101
470,Revlon Eye & Lip Makeup Remover,1,1,1
471,French Connection Men Black Shirt,3,15,4
472,Puma Women Magenta T-shirt,59,9,20
473,Elle Women Green Color Clash Top,1,10,2
